focus,A,actual_dist,score,Pred_dist
450,1.8,250,511879910,250.5947458
450,1.8,350,385329868,350.7618994
450,1.8,450,1192306504,450.9290529
450,1.8,550,215021250,551.0962065
450,1.8,650,147477734,651.2633601
450,1.8,750,142457012,751.4305136
450,2,250,474800832,250.5947458
450,2,350,501622478,350.7618994
450,2,450,1061965170,450.9290529
450,2,550,196901508,551.0962065
450,2,650,159136394,651.2633601
450,2,750,157063352,751.4305136
450,2.2,250,426494560,250.5947458
450,2.2,350,370398782,350.7618994
450,2.2,450,1021859424,450.9290529
450,2.2,550,229501608,551.0962065
450,2.2,650,127904670,651.2633601
450,2.2,750,126747484,751.4305136
450,2.5,250,441543252,250.5947458
450,2.5,350,400322884,350.7618994
450,2.5,450,1013150174,450.9290529
450,2.5,550,252349620,551.0962065
450,2.5,650,125403960,651.2633601
450,2.5,750,129745920,751.4305136
450,2.8,250,419952144,250.5947458
450,2.8,350,368701470,350.7618994
450,2.8,450,1028554616,450.9290529
450,2.8,550,282016910,551.0962065
450,2.8,650,149438768,651.2633601
450,2.8,750,123322006,751.4305136
450,3.2,250,407817352,250.5947458
450,3.2,350,409034514,350.7618994
450,3.2,450,811634632,450.9290529
450,3.2,550,267286404,551.0962065
450,3.2,650,141773176,651.2633601
450,3.2,750,135614674,751.4305136
450,3.5,250,418711362,250.5947458
450,3.5,350,406875882,350.7618994
450,3.5,450,1309140750,450.9290529
450,3.5,550,291058134,551.0962065
450,3.5,650,144296306,651.2633601
450,3.5,750,86641914,751.4305136
450,4,250,483009440,250.5947458
450,4,350,454034270,350.7618994
450,4,450,1352554324,450.9290529
450,4,550,343213566,551.0962065
450,4,650,179013746,651.2633601
450,4,750,104921302,751.4305136
450,4.5,250,466297396,250.5947458
450,4.5,350,599370670,350.7618994
450,4.5,450,1443131320,450.9290529
450,4.5,550,523257236,551.0962065
450,4.5,650,341184826,651.2633601
450,4.5,750,209649870,751.4305136
450,5,250,527538330,250.5947458
450,5,350,737852304,350.7618994
450,5,450,1413702400,450.9290529
450,5,550,533843956,551.0962065
450,5,650,353774432,651.2633601
450,5,750,196999682,751.4305136
450,5.6,250,621530218,250.5947458
450,5.6,350,843671610,350.7618994
450,5.6,450,1391345380,450.9290529
450,5.6,550,660753108,551.0962065
450,5.6,650,391660884,651.2633601
450,5.6,750,249112218,751.4305136
450,6.3,250,678370996,250.5947458
450,6.3,350,901497532,350.7618994
450,6.3,450,1653044402,450.9290529
450,6.3,550,725228372,551.0962065
450,6.3,650,451469040,651.2633601
450,6.3,750,297003450,751.4305136
450,7.1,250,634135760,250.5947458
450,7.1,350,675341594,350.7618994
450,7.1,450,1038196086,450.9290529
450,7.1,550,475222432,551.0962065
450,7.1,650,347818394,651.2633601
450,7.1,750,254262442,751.4305136
450,8,250,849717104,250.5947458
450,8,350,868163914,350.7618994
450,8,450,1088686082,450.9290529
450,8,550,617247178,551.0962065
450,8,650,426723970,651.2633601
450,8,750,314495508,751.4305136
450,9,250,767938760,250.5947458
450,9,350,824383824,350.7618994
450,9,450,1454811438,450.9290529
450,9,550,633912292,551.0962065
450,9,650,422653890,651.2633601
450,9,750,310803830,751.4305136
450,10,250,950904764,250.5947458
450,10,350,853604308,350.7618994
450,10,450,1481559946,450.9290529
450,10,550,782072442,551.0962065
450,10,650,499045116,651.2633601
450,10,750,378479218,751.4305136
450,11,250,1197456568,250.5947458
450,11,350,1243804208,350.7618994
450,11,450,1661742402,450.9290529
450,11,550,901678242,551.0962065
450,11,650,692692850,651.2633601
450,11,750,560401658,751.4305136
450,13,250,1082148520,250.5947458
450,13,350,1305168796,350.7618994
450,13,450,2029248638,450.9290529
450,13,550,888353290,551.0962065
450,13,650,742860990,651.2633601
450,13,750,540144362,751.4305136
450,14,250,1383473732,250.5947458
450,14,350,1421059048,350.7618994
450,14,450,1666165214,450.9290529
450,14,550,1232058258,551.0962065
450,14,650,789193286,651.2633601
450,14,750,510348266,751.4305136
450,16,250,1401861998,250.5947458
450,16,350,1202063578,350.7618994
450,16,450,1539973402,450.9290529
450,16,550,1096539442,551.0962065
450,16,650,821106988,651.2633601
450,16,750,570822684,751.4305136
