focus,A,actual_dist,score
800,2.5,1100,128420770
800,2.8,500,181101460
800,2.8,600,236032118
800,2.8,700,429195112
800,2.8,800,1478284272
800,2.8,900,1579970118
800,2.8,1000,470430820
800,2.8,1100,253008182
800,3.2,500,295768310
800,3.2,600,188453796
800,3.2,700,512316174
800,3.2,800,2216236212
800,3.2,900,360815834
800,3.2,1000,160709488
800,3.2,1100,85887526
800,3.5,500,262293414
800,3.5,600,347599134
800,3.5,700,797222410
800,3.5,800,4492830948
800,3.5,900,1300975896
800,3.5,1000,545510306
800,3.5,1100,361037624
800,4,500,238397490
800,4,600,332577218
800,4,700,685387612
800,4,800,4225942720
800,4,900,1205931292
800,4,1000,512207296
800,4,1100,327205702
800,4.5,500,284187628
800,4.5,600,387474206
800,4.5,700,581042422
800,4.5,800,3448715382
800,4.5,900,1458398032
800,4.5,1000,758633572
800,4.5,1100,478494286
800,5,500,364561508
800,5,600,478283096
800,5,700,875533358
800,5,800,1801686176
800,5,900,962773006
800,5,1000,623246102
800,5,1100,435242056
800,5.6,500,382118268
800,5.6,600,525236034
800,5.6,700,857341836
800,5.6,800,1944747336
800,5.6,900,917118828
800,5.6,1000,599851502
800,5.6,1100,493893850
800,6.3,500,437258396
800,6.3,600,647770732
800,6.3,700,1148356646
800,6.3,800,1752501574
800,6.3,900,1620659254
800,6.3,1000,581249616
800,6.3,1100,666664026
800,7.1,500,428692958
800,7.1,600,499890598
800,7.1,700,1033485664
800,7.1,800,2100356826
800,7.1,900,1602901246
800,7.1,1000,1279292982
800,7.1,1100,719627224
800,8,500,493620860
800,8,600,707886046
800,8,700,1279651572
800,8,800,1621947116
800,8,900,1842922996
800,8,1000,1568996238
800,8,1100,991479150
800,9,500,644198566
800,9,600,863461946
800,9,700,1920582732
800,9,800,1686766938
800,9,900,1004687666
800,9,1000,734883350
800,9,1100,998090620
800,10,500,643105988
800,10,600,1700894174
800,10,700,2713620956
800,10,800,1832544480
800,10,900,1277096576
800,10,1000,864707180
800,10,1100,691739918
800,11,500,721376258
800,11,600,855956028
800,11,700,1117240664
800,11,800,1299555732
800,11,900,1061785702
800,11,1000,1159950538
800,11,1100,844939238
800,13,500,811457994
800,13,600,1137037930
800,13,700,1352449582
800,13,800,1972791442
800,13,900,1841668008
800,13,1000,1086932316
800,13,1100,841013316
800,14,500,963358580
800,14,600,1422804446
800,14,700,1820380036
800,14,800,3126644774
800,14,900,1801761506
800,14,1000,1659341798
800,14,1100,1213751350
800,16,500,1014861406
800,16,600,1236168822
800,16,700,2079828754
800,16,800,1786515198
800,16,900,1059655392
800,16,1000,734354904
800,16,1100,114398050
