focus,A,actual_dist,score,Pred_dist
800,1.8,500,156259660,501.0126297
800,1.8,600,166821466,601.1797833
800,1.8,700,390858276,701.3469368
800,1.8,800,752696060,801.5140904
800,1.8,900,260958752,901.6812439
800,1.8,1000,120029426,1001.848397
800,1.8,1100,98887834,1102.015551
800,2,500,173144660,501.0126297
800,2,600,317257626,601.1797833
800,2,700,1080169622,701.3469368
800,2,800,5968481414,801.5140904
800,2,900,864778066,901.6812439
800,2,1000,285005210,1001.848397
800,2,1100,106726218,1102.015551
800,2.2,500,161666432,501.0126297
800,2.2,600,210939824,601.1797833
800,2.2,700,405441870,701.3469368
800,2.2,800,3283302034,801.5140904
800,2.2,900,709547642,901.6812439
800,2.2,1000,266320650,1001.848397
800,2.2,1100,92439938,1102.015551
800,2.5,500,176666418,501.0126297
800,2.5,600,247623996,601.1797833
800,2.5,700,447576830,701.3469368
800,2.5,800,2539664406,801.5140904
800,2.5,900,618331458,901.6812439
800,2.5,1000,301046518,1001.848397
800,2.5,1100,128420770,1102.015551
800,2.8,500,181101460,501.0126297
800,2.8,600,236032118,601.1797833
800,2.8,700,429195112,701.3469368
800,2.8,800,1478284272,801.5140904
800,2.8,900,1579970118,901.6812439
800,2.8,1000,470430820,1001.848397
800,2.8,1100,253008182,1102.015551
800,3.2,500,295768310,501.0126297
800,3.2,600,188453796,601.1797833
800,3.2,700,512316174,701.3469368
800,3.2,800,2216236212,801.5140904
800,3.2,900,360815834,901.6812439
800,3.2,1000,160709488,1001.848397
800,3.2,1100,85887526,1102.015551
800,3.5,500,262293414,501.0126297
800,3.5,600,347599134,601.1797833
800,3.5,700,797222410,701.3469368
800,3.5,800,4492830948,801.5140904
800,3.5,900,1300975896,901.6812439
800,3.5,1000,545510306,1001.848397
800,3.5,1100,361037624,1102.015551
800,4,500,238397490,501.0126297
800,4,600,332577218,601.1797833
800,4,700,685387612,701.3469368
800,4,800,4225942720,801.5140904
800,4,900,1205931292,901.6812439
800,4,1000,512207296,1001.848397
800,4,1100,327205702,1102.015551
800,4.5,500,284187628,501.0126297
800,4.5,600,387474206,601.1797833
800,4.5,700,581042422,701.3469368
800,4.5,800,3448715382,801.5140904
800,4.5,900,1458398032,901.6812439
800,4.5,1000,758633572,1001.848397
800,4.5,1100,478494286,1102.015551
800,5,500,364561508,501.0126297
800,5,600,478283096,601.1797833
800,5,700,875533358,701.3469368
800,5,800,1801686176,801.5140904
800,5,900,962773006,901.6812439
800,5,1000,623246102,1001.848397
800,5,1100,435242056,1102.015551
800,5.6,500,382118268,501.0126297
800,5.6,600,525236034,601.1797833
800,5.6,700,857341836,701.3469368
800,5.6,800,1944747336,801.5140904
800,5.6,900,917118828,901.6812439
800,5.6,1000,599851502,1001.848397
800,5.6,1100,493893850,1102.015551
800,6.3,500,437258396,501.0126297
800,6.3,600,647770732,601.1797833
800,6.3,700,1148356646,701.3469368
800,6.3,800,1752501574,801.5140904
800,6.3,900,1620659254,901.6812439
800,6.3,1000,581249616,1001.848397
800,6.3,1100,666664026,1102.015551
800,7.1,500,428692958,501.0126297
800,7.1,600,499890598,601.1797833
800,7.1,700,1033485664,701.3469368
800,7.1,800,2100356826,801.5140904
800,7.1,900,1602901246,901.6812439
800,7.1,1000,1279292982,1001.848397
800,7.1,1100,719627224,1102.015551
800,8,500,493620860,501.0126297
800,8,600,707886046,601.1797833
800,8,700,1279651572,701.3469368
800,8,800,1621947116,801.5140904
800,8,900,1842922996,901.6812439
800,8,1000,1568996238,1001.848397
800,8,1100,991479150,1102.015551
800,9,500,644198566,501.0126297
800,9,600,863461946,601.1797833
800,9,700,1920582732,701.3469368
800,9,800,1686766938,801.5140904
800,9,900,1004687666,901.6812439
800,9,1000,734883350,1001.848397
800,9,1100,998090620,1102.015551
800,10,500,643105988,501.0126297
800,10,600,1700894174,601.1797833
800,10,700,2713620956,701.3469368
800,10,800,1832544480,801.5140904
800,10,900,1277096576,901.6812439
800,10,1000,864707180,1001.848397
800,10,1100,691739918,1102.015551
800,11,500,721376258,501.0126297
800,11,600,855956028,601.1797833
800,11,700,1117240664,701.3469368
800,11,800,1299555732,801.5140904
800,11,900,1061785702,901.6812439
800,11,1000,1159950538,1001.848397
800,11,1100,844939238,1102.015551
800,13,500,811457994,501.0126297
800,13,600,1137037930,601.1797833
800,13,700,1352449582,701.3469368
800,13,800,1972791442,801.5140904
800,13,900,1841668008,901.6812439
800,13,1000,1086932316,1001.848397
800,13,1100,841013316,1102.015551
800,14,500,963358580,501.0126297
800,14,600,1422804446,601.1797833
800,14,700,1820380036,701.3469368
800,14,800,3126644774,801.5140904
800,14,900,1801761506,901.6812439
800,14,1000,1659341798,1001.848397
800,14,1100,1213751350,1102.015551
800,16,500,1014861406,501.0126297
800,16,600,1236168822,601.1797833
800,16,700,2079828754,701.3469368
800,16,800,1786515198,801.5140904
800,16,900,1059655392,901.6812439
800,16,1000,734354904,1001.848397
800,16,1100,114398050,1102.015551
