Actual Distance,Predicted Distance
250,250.59474583089195
600,601.179783273636
400,400.8454761634965
350,350.76189938596167
700,701.3469368287057
900,901.6812439388451
250,250.59474583089195
400,400.8454761634965
500,501.01262971856636
450,450.9290529410314
550,551.0962064961012
700,701.3469368287057
600,601.179783273636
600,601.179783273636
600,601.179783273636
500,501.01262971856636
700,701.3469368287057
900,901.6812439388451
600,601.179783273636
800,801.5140903837754
550,551.0962064961012
800,801.5140903837754
700,701.3469368287057
250,250.59474583089195
900,901.6812439388451
750,751.4305136062407
750,751.4305136062407
550,551.0962064961012
750,751.4305136062407
650,651.2633600511709
300,300.67832260842687
900,901.6812439388451
700,701.3469368287057
800,801.5140903837754
250,250.59474583089195
1000,1001.8483974939148
600,601.179783273636
550,551.0962064961012
350,350.76189938596167
350,350.76189938596167
250,250.59474583089195
700,701.3469368287057
1000,1001.8483974939148
300,300.67832260842687
500,501.01262971856636
550,551.0962064961012
650,651.2633600511709
1000,1001.8483974939148
250,250.59474583089195
800,801.5140903837754
550,551.0962064961012
450,450.9290529410314
250,250.59474583089195
800,801.5140903837754
1000,1001.8483974939148
800,801.5140903837754
400,400.8454761634965
800,801.5140903837754
650,651.2633600511709
350,350.76189938596167
650,651.2633600511709
500,501.01262971856636
1100,1102.0155510489844
300,300.67832260842687
1100,1102.0155510489844
800,801.5140903837754
600,601.179783273636
700,701.3469368287057
500,501.01262971856636
750,751.4305136062407
550,551.0962064961012
250,250.59474583089195
300,300.67832260842687
450,450.9290529410314
900,901.6812439388451
650,651.2633600511709
250,250.59474583089195
550,551.0962064961012
250,250.59474583089195
