focus,A,actual_dist,,Pred_dist,Tenegrad_Score
600,1.8,300,,300.00012,334026804
600,1.8,400,,400.00006,228283112
600,1.8,500,,500,350660982
600,1.8,600,,600.00006,2112444228
600,1.8,700,,700,289853252
600,1.8,800,,799.99994,103412130
600,1.8,900,,899.99994,79565418
600,2,300,,300.00012,313273398
600,2,400,,400.00006,267116128
600,2,500,,500,475412442
600,2,600,,600.00006,2574460810
600,2,700,,700,366246518
600,2,800,,799.99994,144915918
600,2,900,,899.99994,113513994
600,2.2,300,,300.00012,291278548
600,2.2,400,,400.00006,253670088
600,2.2,500,,500,381625786
600,2.2,600,,600.00006,1478965926
600,2.2,700,,700,289961202
600,2.2,800,,799.99994,115687636
600,2.2,900,,899.99994,85303114
600,2.5,300,,300.00012,305936270
600,2.5,400,,400.00006,253223554
600,2.5,500,,500,402457810
600,2.5,600,,600.00006,1827127814
600,2.5,700,,700,300451616
600,2.5,800,,799.99994,106220886
600,2.5,900,,899.99994,68295204
600,2.8,300,,300.00012,323682924
600,2.8,400,,400.00006,273153382
600,2.8,500,,500,437013706
600,2.8,600,,600.00006,1979617868
600,2.8,700,,700,344324168
600,2.8,800,,799.99994,164079022
600,2.8,900,,899.99994,86938212
600,3.2,300,,300.00012,274745680
600,3.2,400,,400.00006,296909516
600,3.2,500,,500,479089550
600,3.2,600,,600.00006,3408390066
600,3.2,700,,700,380857346
600,3.2,800,,799.99994,172162042
600,3.2,900,,899.99994,107248826
600,3.5,300,,300.00012,326996910
600,3.5,400,,400.00006,267213682
600,3.5,500,,500,483669482
600,3.5,600,,600.00006,2431328566
600,3.5,700,,700,447000014
600,3.5,800,,799.99994,221377350
600,3.5,900,,899.99994,125858912
600,4,300,,300.00012,357770326
600,4,400,,400.00006,340578706
600,4,500,,500,575197098
600,4,600,,600.00006,2729152470
600,4,700,,700,463632790
600,4,800,,799.99994,281003886
600,4,900,,899.99994,176841828
600,4.5,300,,300.00012,428838128
600,4.5,400,,400.00006,507388476
600,4.5,500,,500,934336222
600,4.5,600,,600.00006,4677561582
600,4.5,700,,700,1195587634
600,4.5,800,,799.99994,579318632
600,4.5,900,,899.99994,390320882
600,5,300,,300.00012,388582980
600,5,400,,400.00006,530895704
600,5,500,,500,1356448122
600,5,600,,600.00006,1402513522
600,5,700,,700,943197538
600,5,800,,799.99994,564948316
600,5,900,,899.99994,432039062
600,5.6,300,,300.00012,479002144
600,5.6,400,,400.00006,486572240
600,5.6,500,,500,894459944
600,5.6,600,,600.00006,1912539904
600,5.6,700,,700,704453508
600,5.6,800,,799.99994,459493870
600,5.6,900,,899.99994,315648260
600,6.3,300,,300.00012,444925810
600,6.3,400,,400.00006,517820340
600,6.3,500,,500,937833182
600,6.3,600,,600.00006,1853475114
600,6.3,700,,700,649151562
600,6.3,800,,799.99994,473937126
600,6.3,900,,899.99994,298004380
600,7.1,300,,300.00012,530200070
600,7.1,400,,400.00006,595258270
600,7.1,500,,500,1093838306
600,7.1,600,,600.00006,1646652204
600,7.1,700,,700,795148960
600,7.1,800,,799.99994,560742876
600,7.1,900,,899.99994,385216040
600,8,300,,300.00012,710525428
600,8,400,,400.00006,755179476
600,8,500,,500,1302143012
600,8,600,,600.00006,1676502196
600,8,700,,700,965110326
600,8,800,,799.99994,637725966
600,8,900,,899.99994,473922054
600,9,300,,300.00012,604203742
600,9,400,,400.00006,682032278
600,9,500,,500,1344196798
600,9,600,,600.00006,1487434108
600,9,700,,700,803511294
600,9,800,,799.99994,726105256
600,9,900,,899.99994,446845954
600,11,300,,300.00012,944120404
600,11,400,,400.00006,992486138
600,11,500,,500,981476186
600,11,600,,600.00006,1122313166
600,11,700,,700,1154846838
600,11,800,,799.99994,855652264
600,11,900,,899.99994,624617006
600,13,300,,300.00012,952824538
600,13,400,,400.00006,880446530
600,13,500,,500,1041507612
600,13,600,,600.00006,1204007550
600,13,700,,700,1353423928
600,13,800,,799.99994,1040478868
600,13,900,,899.99994,773818230
600,14,300,,300.00012,1101822198
600,14,400,,400.00006,1121162496
600,14,500,,500,1053974776
600,14,600,,600.00006,1587937924
600,14,700,,700,1752499148
600,14,800,,799.99994,1431079284
600,14,900,,899.99994,841069182
600,16,300,,300.00012,1088546918
600,16,400,,400.00006,919088572
600,16,500,,500,1257991072
600,16,600,,600.00006,1319993138
600,16,700,,700,1174463226
600,16,800,,799.99994,1218395968
600,16,900,,899.99994,1109391526
